match_id,period_1_score,period_2_score,period_3_score,period_4_score,period_5_score,period_1_play_score,period_2_play_score,period_3_play_score,period_4_play_score,period_5_play_score,current_display,start_date,current_play_score
11998447,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998448,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998449,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998450,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998451,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998456,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998459,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998666,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998667,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998670,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998671,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998672,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998674,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998675,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998676,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998772,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998774,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998780,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998782,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998783,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998784,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998785,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11998786,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999004,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999005,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999007,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
11999009,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG,NG
