match_id,full_name,height
12002069,"Shnaider, Diana",
12002070,"Ostapenko, Jelena",1.77
12002072,"Vekić, Donna",1.79
12002073,"Ostapenko, Jelena",1.77
12021514,"Krutykh, Oleksii",1.85
12021515,"Bielinskyi, Viacheslav",
12023349,"Zhou, Yi",1.93
12023351,"Zhang, Zhizhen",1.93
12023355,"Ly, Hoang Nam",1.75
12023356,"Trinh, Linh Giang",1.83
12023358,"Statham, Rubin",1.8
12023359,"Pannu, Kiranpal",1.85
12024039,"Sultanov, Khumoyun",1.8
12024042,"Fomin, Sergey",1.8
12024226,"Parker, Stuart",1.85
12024231,"Hassan, Benjamin",1.83
12024234,"Habib, Hady",1.88
12024238,"Echargui, Moez",1.78
12024239,"Echargui, Moez",1.78
12024240,"Dougaz, Aziz",1.88
12024241,"Dougaz, Aziz",1.88
12024245,"Iannaccone, Federico",1.83
12024365,"Tabacco, Giorgio",1.78
12024366,"Griekspoor, Tallon",1.88
12024367,"Van De Zandschulp, Botic",1.91
12024368,"Griekspoor, Tallon",1.88
12024369,"Van De Zandschulp, Botic",1.91
12024371,"Pfeifer, Lara",
12024386,"Asrawy, Amr",1.85
12024388,"Safwat, Mohamed",1.8
12024389,"Asrawy, Amr",1.85
12024435,"Samsonova, Laura",
12024489,"Munk Mortensen, Rebecca",
12024511,"Friberg, Karl",1.91
12024512,"Ymer, Elias",1.85
12024513,"Ymer, Elias",1.85
12024514,"Friberg, Karl",1.91
12024556,"Fucsovics, Marton",1.88
12024557,"Marozsan, Fabian",1.93
12024558,"Fucsovics, Marton",1.88
12024559,"Marozsan, Fabian",1.93
12024613,"Kecmanović, Miomir",1.83
12024614,"Lajovic, Dusan",1.83
12024616,"Lajovic, Dusan",1.83
12024617,"Kecmanović, Miomir",1.83
12024637,"Durasovic, Viktor",1.85
12024638,"Ruud, Casper",1.83
12024639,"Durasovic, Viktor",1.85
12024640,"Ruud, Casper",1.83
12024642,"Krutykh, Oleksii",1.85
12024644,"Salkova, Dominika",
12024794,"Lee, Eunhye",
12024836,"Virtanen, Otto",1.93
12024837,"Ruusuvuori, Emil",1.88
12024839,"Ruusuvuori, Emil",1.88
12024840,"Virtanen, Otto",1.93
12024934,"Mejia, Nicolas",1.83
12024935,"Soriano Barrera, Adria",1.91
12024936,"Mejia, Nicolas",1.83
12024938,"Soriano Barrera, Adria",1.91
12025044,"Salle, Fabien",1.85
12025057,"Hercog, Polona",1.85
12025061,"Pecci, Alessandro",1.98
12025067,"Dodin, Océane",1.83
12025085,"Serafini, Marcello",1.88
12025129,"Arévalo, Marcelo",1.93
12025130,"Arévalo, Marcelo",1.93
12025133,"Hovde, Liv",
12025136,"Pospisil, Vasek",1.93
12025137,"Diallo, Gabriel",2.03
12025138,"Pospisil, Vasek",1.93
12025139,"Diallo, Gabriel",2.03
12025142,"Kessler, McCartney",
12025144,"Miyazaki, Yuriko Lily",
12025149,"Carlé, María Lourdes",1.66
12025174,"Hu, Victoria",
12025679,"Shibahara, Ena",1.7
12025682,"Wu, Tung-Lin",1.88
12025683,"Hsu, Yu Hsiou",1.78
12025684,"Wu, Tung-Lin",1.88
12025685,"Hsu, Yu Hsiou",1.78
12025687,"Wong, Hong Kit",
12025688,"Wong, Hong Kit",
12025689,"Wong, Chak Lam Coleman",1.91
12025690,"Wong, Chak Lam Coleman",1.91
12025752,"Ito, Aoi",
12025799,"Rai, Ajeet",1.88
12025849,"Jakupovic, Dalila",1.7
12026470,"Eala, Alexandra",1.75
12026623,"Barranco Cosano, Javier",1.78
12026792,"Sharipov, Marat",1.88
12026797,"Pawelski, Martyn",1.96
12026852,"Efstathiou, Menelaos",1.83
12026853,"Chrysochos, Petros",1.85
12026854,"Khan, Aqeel",
12026855,"Khan, Aqeel",
12026856,"Efstathiou, Menelaos",1.83
12026858,"Chrysochos, Petros",1.85
12026875,"Gaubas, Vilius",1.78
12026877,"Berankis, Ričardas",1.75
12026878,"Berankis, Ričardas",1.75
12026987,"Klok, Denys",1.8
12027048,"Oetzbach, Adrian",1.85
12027054,"Kuzmanov, Dimitar",1.83
